_id,ID,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_COUNTY_FIPS_CODE,STATE_ABBR,ZIP_CODE,REGION,FAC_CLOSED_IND,MAIL_NAME,MAIL_STREET_ADDRESS,MAIL_CITY,MAIL_STATE_ABBR,MAIL_PROVINCE,MAIL_COUNTRY,MAIL_ZIP_CODE,ASGN_FEDERAL_IND,ASGN_AGENCY,FRS_ID,PARENT_CO_DB_NUM,PARENT_CO_NAME,FAC_LATITUDE,FAC_LONGITUDE,PREF_LATITUDE,PREF_LONGITUDE,PREF_ACCURACY,PREF_COLLECT_METH,PREF_DESC_CATEGORY,PREF_HORIZONTAL_DATUM,PREF_SOURCE_SCALE,PREF_QA_CODE,ASGN_PARTIAL_IND,ASGN_PUBLIC_CONTACT,ASGN_PUBLIC_PHONE,ASGN_PUBLIC_PHONE_EXT,ASGN_PUBLIC_CONTACT_EMAIL,BIA_CODE,STANDARDIZED_PARENT_COMPANY,EPA_REGISTRY_ID
4169,1501WTHLNC2PRES,NORTHEAST PAVING BRIDGEVILLE PLANT,2 PRESTLEY ROAD,BRIDGEVILLE,ALLEGHENY,42003,PA,15017,3,0,NORTHEAST PAVING BRIDGEVILLE PLANT,290 BILMAR DRIVE 2ND FLOOR,PITTSBURGH,PA,,,15205,C,,,116894157,EUROVIA ATLANTIC COAST LLC,,,,,,,,,,,0,MICHAEL CUILIK,7032300850,,MICHAEL.CUILIK@EUROVIA.US,,,110055233019
4170,15020SNCCHBUNOL,UNIVAR SOLUTIONS USA - BUNOLA BRANCH,328 BUNOLA RIVER RD,BUNOLA,ALLEGHENY,42003,PA,15020,3,0,UNIVAR SOLUTIONS USA - BUNOLA BRANCH,PO BOX 303,BUNOLA,PA,,,15020,C,,,028968691,UNIVAR SOLUTIONS USA LLC,401410,795740,,,,,,,,,0,CRYSTAL JONES,6186986581,,CRYSTAL.JONES@UNIVARSOLUTIONS.COM,,,110000603357
4171,15024CHSWCPITTS,CHESWICK PLANT ENVIRONMENTAL REDEVELOPMENT GROUP LLC,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,42003,PA,15144,3,0,CHESWICK PLANT ENVIRONMENTAL REDEVELOPMENT GROUP LLC,151 PORTER ST,SPRINGDALE,PA,,,15144,C,,,,,403212,794739,,,,,,,,,0,RICHARD RAVOTTI,5023774228,,RRAVOTTI@CHARAH.COM,,,110056969641
4172,15024LLGHN1105P,ALLEGHENY LABEL INC,1105 PITTSBURGH ST,CHESWICK,ALLEGHENY,42003,PA,15024,3,0,ALLEGHENY LABEL INC,PO BOX 95,CHESWICK,PA,,,15024,C,,,,,402900,801400,40.5715,79.8574,11000,Z1,UN,1,U,0000,0,SUSAN C TONKS,4122747000,,,,,110001219315
4173,15024MLLNN1105C,TMG ELECTRONICS,1105 CHESWICK,CHESWICK,ALLEGHENY,42003,PA,15024,3,0,TMG ELECTRONICS,1105 CHESWICK,CHESWICK,PA,,,15024,C,,,,MBG TECHNOLOGIES INC,403225,794829,,,,,,,,,0,DAVID  TOMAN,7242747741,,TOMAN.D@1TMG.COM,,,110006900906
4174,15024RDLND230RI,GLEN-GERY CORP - PITTSBURGH PLANT,26 RICH HILL RD,CHESWICK,ALLEGHENY,42003,PA,15024,3,0,GLEN-GERY CORP - PITTSBURGH PLANT,26 RICH HILL RD,CHESWICK,PA,,,15024,C,,,117186318,BRICKWORKS BUILDING PRODUCTS NA,403324,795009,,,,,,,,,0,ERIC BROWN,6105626420,,ERIC.BROWN@GLENGERY.COM,,BRICKWORKS BUILDING PRODUCTS NORTH AMERICA,110013288478
4175,15024RDLND375RI,REDLAND BRICK INC HARMAR PLANT,375 RICH HILL RD,CHESWICK,ALLEGHENY,42003,PA,150242317,3,1,,375 RICH HILL RD.,CHESWICK,PA,,UNITED STATES,15024-2317,C,,,004468690,BELDEN BRICK CO,403330,795030,,,,,,,,,0,,,,,,,110000328798
4176,15024WSTNGLOWGR,WESTINGHOUSE ELECTRIC CORP,LOW GRADE RD AT LEMON LN,CHESWICK,ALLEGHENY,42003,PA,150241300,3,0,WESTINGHOUSE ELECTRIC CORP.,1000 CHESWICK AVE.,CHESWICK,PA,,,15024-1300,C,,,001343953,WESTINGHOUSE ELECTRIC CORP,403300,754845,40.55088,79.808384,150,A1,PG,1,J,1000,0,ROSEMARY PETA,4129635019,,,,,110008470751
4177,15025RSTCH400ST,KOPPERS INC CLAIRTON TAR PLANT,300 N STATE ST,CLAIRTON,ALLEGHENY,42003,PA,15025,3,0,KOPPERS INC CLAIRTON TAR PLANT,300 N STATE ST,CLAIRTON,PA,,,15025,C,,,196991582,KOPPERS INC,401730,795230,40.29,79.88,150,UN,UN,1,U,1010,0,JOHN IRVINE,4122272884,,IRVINEJK@KOPPERS.COM,,KOPPERS INC,110000328823
4178,15025SSCLR400ST,USS-CLAIRTON PLANT,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,42003,PA,15025,3,0,USS-CLAIRTON PLANT,400 STATE ST MS 71,CLAIRTON,PA,,,15025,C,,,029990699,US STEEL CORP,401825,795230,40.306944,79.875,150,UN,UN,1,U,1010,0,JONELLE SCHEETZ,4126757382,,JSSCHEETZ@USS.COM,,US STEEL CORP,110042043384
4179,15025TYKRF301BR,LARGE PLANT OF TYK AMERICA INC,301 BRICKYARD RD,CLAIRTON,ALLEGHENY,42003,PA,15025,3,0,LARGE PLANT OF TYK AMERICA INC,301 BRICKYARD RD,CLAIRTON,PA,,,15025,C,,,,,401719,795517,40.288333,79.921667,150,UN,UN,1,U,1010,0,ALAN CHALFANT,4123844259,,,,,110000328841
4180,15025GRDNN1000G,GUARDIAN INDUSTRIES CORP - FLOREFFE PLANT,1000 GLASSHOUSE RD,JEFFERSON HILLS,ALLEGHENY,42003,PA,15025,3,1,GUARDIAN INDUSTRIES CORP - FLOREFFE PLANT,1000 GLASSHOUSE RD,JEFFERSON HILLS,PA,,,15025,C,,,054671169,GUARDIAN INDUSTRIES CORP,401515,795459,,,,,,,,,0,JAMES RILEY,2483402183,,JRILEY@GUARDIAN.COM,,GUARDIAN INDUSTRIES CORP,110000328814
4181,15025MRTHN1100G,MARATHON PETROLEUM CO - FLOREFFE PA ASPHALT TERMINAL,1100 GLASS HOUSE RD,JEFFERSON HILLS,ALLEGHENY,42003,PA,15025,3,0,MARATHON PETROLEUM CO - FLOREFFE PA ASPHALT TERMINAL,539 S MAIN ST,FINDLAY,OH,,,45840,C,,,968393996,MARATHON PETROLEUM CORP,401529,795454,,,,,,,,,0,SUE BARTO,4194295266,,MSBARTO@MARATHONPETROLEUM.COM,,MARATHON PETROLEUM CORP,110025330586
4182,1502WCRTSS1WRIG,CURTISS WRIGHT ELECTRO MECH CORP,1000 WRIGHT WAY,CHESWICK,ALLEGHENY,42003,PA,15024,3,0,CURTISS WRIGHT ELECTRO MECH CORP,1000 WRIGHT WAY,CHESWICK,PA,,,15024,C,,,002013522,CURTISS-WRIGHT CORP,,,,,,,,,,,0,HANNAH GIBSON,7243511370,,HGIBSON@CURTISSWRIGHT.COM,,CURTISS-WRIGHT CORP,110064209351
4183,1502WFLBGS221SW,FLABEG SOLAR US CORPORATION,2201 SWEENEY DRIVE,CLINTON,ALLEGHENY,42003,PA,15026,3,0,FLABEG SOLAR US CORPORATION,2201 SWEENEY DRIVE,CLINTON,PA,,,15026,C,,,,,,,,,,,,,,,0,WILLIAM E. OTTO,7248994610,,BILL.OTTO@FLABEG.COM,,FLABEG SOLAR US CORP,110039279269
4184,1502WNRDLC12CLI,NORD LOCK GROUP,1200 CLIFFORD BALL DRIVE,CLINTON,ALLEGHENY,42003,PA,15026,3,0,NORD LOCK GROUP,1200 CLIFFORD BALL DRIVE,CLINTON,PA,,,15026,C,,,,NORD-LOCK GROUP,,,,,,,,,,,0,ALAN GORE,4122930168,,ALAN.GORE@NORD-LOCK.COM,,,110071956533
4185,15030FRPRTBAILI,FREEPORT BRICK CO ALLEGHENY PLANT,BAILIES RUN RD,CREIGHTON,ALLEGHENY,42003,PA,15030,3,0,FREEPORT BRICK CO. ALLEGHENY PLANT,DRAWER F,FREEPORT,PA,,,16229-0306,C,,,004318911,FREEPORT AREA ENTS INC,403600,704700,40.5848,79.7812,11000,Z1,UN,1,U,0000,0,F. H. LAUBE,4122952111,,,,,110000954833
4186,15030PPGNDRTE28,PITTSBURGH GLASS WORKS CREIGHTON,150 FERRY ST,CREIGHTON,ALLEGHENY,42003,PA,15030,3,1,PITTSBURGH GLASS WORKS CREIGHTON,150 FERRY ST,CREIGHTON,PA,,,15030,C,,,028117104,LKQ CORP (DE),403520,794620,40.588889,79.772222,11000,UN,UN,1,U,1000,0,JOHN M. FELKER,7242266865,,JFELKER@PGWGLASS.COM,,LKQ CORP (DE),110000328850
4187,15030PTTPNPOBOX,PITT PENN OIL CO. LLC,426 FREEPORT RD,CREIGHTON,ALLEGHENY,42003,PA,15030,3,0,PITT PENN OIL CO. LLC.,PO BOX 296,CREIGHTON,PA,,,150300296,C,,,027887822,INDUSTRIAL ENTERPRISES OF AMERICA INC,403431,794637,40.582,79.7789,500,I1,UN,1,J,1000,0,DENNIS RITZERT,7242262712,,INFO@PITTPENN.COM,,,110000328869
4188,15030RPRDCRTE28,AIR PRODUCTS & CHEMICALS INC CREIGHTON PA FAC,RTE 28  FREEPORT RD,CREIGHTON,ALLEGHENY,42003,PA,15030,3,0,AIR PRODUCTS & CHEMICALS INC CREIGHTON PA FAC,RTE 28  FREEPORT RD,CREIGHTON,PA,,,15030,C,,,003001070,AIR PRODUCTS & CHEMICALS INC,403451,794659,40.580833,79.783056,11000,UN,UN,1,U,1000,0,R. L. SOBOTKA,4122261511,,,,,110007034235
4189,15031SNXXP710MI,SENEX EXPLOSIVES INC,710 MILLERS RUN RD,CUDDY,ALLEGHENY,42003,PA,15031,3,0,SENEX EXPLOSIVES INC,710 MILLERS RUN RD,CUDDY,PA,,,15031,C,,,,,402054,801040,,,,,,,,,0,,,,,,,110000328878
4190,15034BSWLL702WA,KINDER MORGAN LIQUIDS TERMINALS LLC,702 WASHINGTON AVE,DRAVOSBURG,ALLEGHENY,42003,PA,15034,3,0,KINDER MORGAN LIQUIDS TERMINALS L.L.C.,P.O. BOX 253,DRAVOSBURG,PA,,,15034,C,,,,,402115,795250,,,,,,,,,0,,,,,,,110000328921
4191,15034SSRVNPOBOX,USS MON VALLEY WORKS - IRVIN PLANT,CAMP HOLLOW RD,WEST MIFFLIN,ALLEGHENY,42003,PA,15122,3,0,USS MON VALLEY WORKS - IRVIN PLANT,PO BOX 878,DRAVOSBURG,PA,,,15034,C,,,029990699,US STEEL CORP,402300,795040,40.3542,79.89,500,I1,UN,1,J,1000,0,JONELLE SCHEETZ,4126757382,,JSSCHEETZ@USS.COM,,US STEEL CORP,110008470724
4192,15044MLMPY22FRO,MELAMPY MANUFACTURING CO,22 FRONTIER DR,GIBSONIA,ALLEGHENY,42003,PA,15044,3,0,MELAMPY MANUFACTURING CO,22 FRONTIER DR,GIBSONIA,PA,,,15044,C,,,055403752,STANDARD CAR TRUCK,403653,795423,,,,,,,,,0,DAVID P. KULBACKI,7244430841,,DKULBACKI@STDCAR.COM,,,110000328930
4193,15044PNNRG1239O,PANNIER GRAPHIC DIV,1239 OAK RD,GIBSONIA,ALLEGHENY,42003,PA,15044,3,0,PANNIER GRAPHIC DIV,1239 OAK RD,GIBSONIA,PA,,,15044,C,,,004320982,PANNIER CORP,,,40.6352,79.9435,11000,Z1,UN,1,U,0000,0,JEFF HEDDAEUS,,,,,,110024424283
4194,15045TCHMT15ALL,TECH MET INC.,15 ALLEGHENY SQUARE,GLASSPORT,ALLEGHENY,42003,PA,15045,3,0,TECH MET INC.,15 ALLEGHENY SQUARE,GLASSPORT,PA,,,15045,C,,,,,402110,795340,,,,,,,,,0,ROGER CRAWFORD,7249531753,,RCRAWFORD@TECHMETINC.COM,,,110000819179
4195,15049WTSNS616HI,WATSON STANDARD CO HARWICK PLANT,616 HITE RD,HARWICK,ALLEGHENY,42003,PA,15049,3,0,WATSON STANDARD CO HARWICK PLANT,616 HITE RD,HARWICK,PA,,,15049,C,,,834950552,WATSON INDUSTRIES INC,403316,794836,40.555,79.810278,500,UN,,1,U,1010,1,WATSON STANDARD,7242751000,,PVOLCHKO@WATSONSTANDARD.COM,,WATSON INDUSTRIES INC,110007758284
4196,15051MDRDNMEDRA,MEDRAD INC,1 MEDRAD DR,INDIANOLA,ALLEGHENY,42003,PA,15051,3,0,MEDRAD INC,1 MEDRAD DR,INDIANOLA,PA,,,15051,C,,,064960248,BAYER GROUP,403029,795148,40.568056,79.857778,500,UN,UN,1,U,1010,0,LUANNE RADERMARCHER,7249407968,,LRADERMERCHER@MEDRAD.COM,,,110000328967
4197,15051MRCNRSTATE,KINDER MORGAN TRANSMIX CO LLC,918 RT 910,INDIANOLA,ALLEGHENY,42003,PA,15051,3,0,KINDER MORGAN TRANSMIX CO LLC,PO BOX 840,INDIANOLA,PA,,,15051,C,,,,KINDER MORGAN,403417,795152,40.571389,79.864444,11000,UN,UN,1,U,1000,0,RICHARD KREJCI,7707514157,,RICK_KREJCI@KINDERMORGAN.COM,,KINDER MORGAN,110000747568
4198,15056CDMFGAVEBX,CODO MANUFACTURING CORP,7 AVE B BUNCHER INDUSTRIAL DISTRICT,LEETSDALE,ALLEGHENY,42003,PA,150560056,3,0,CODO MANUFACTURING CORP,7 AVE B BUNCHER INDUSTRIAL DISTRICT,LEETSDALE,PA,,,15056-0056,C,,,,,403337,801232,40.560278,80.208889,11000,UN,UN,1,U,1000,0,GARY T WARZYNSKI,4127412010,,,,,110002095116
4199,15106THPTTKEYST,THEPITT MFG CO,KEYSTONE DR,CARNEGIE,ALLEGHENY,42003,PA,151060000,3,1,THEPITT MFG CO,KEYSTONE DR,CARNEGIE,PA,,,15106-0000,C,,,,RE-HIDE INC,402357,800720,40.399167,80.122222,11000,UN,UN,1,U,1000,0,RONALD D. ROESSLER,,,,,,110007719362
4200,15106TLDYNARCHS,"TELEDYNE INC, TELEDYNE COLUMBIA SUMMERILL",ARCH ST,CARNEGIE,ALLEGHENY,42003,PA,15106,3,1,"TELEDYNE INC, TELEDYNE COLUMBIA SUMMERILL",ARCH ST,CARNEGIE,PA,,,15106,C,,,,ALLEGHENY TELEDYNE INC,402505,800442,40.418056,80.078333,11000,UN,UN,1,U,1000,0,,,,,,,110006645540
4201,15106VVNDMWESTN,"VIVIANO MACARONI CO, GROCERY",W NOBLESTOWN RD,CARNEGIE,ALLEGHENY,42003,PA,15106,3,0,"VIVIANO MACARONI CO, GROCERY",W NOBLESTOWN RD,CARNEGIE,PA,,,15106,C,,,001338797,BORDEN INC,402612,8e+05,40.3961,80.1119,500,I1,UN,1,J,1000,0,BORDEN PUBLIC AFFAIRS COLUMBUS OHIO,6142254422,,,,,110007719629
4202,15056CLRWTINDUS,THE LUBRIZOL CORP,100 LEETSDALE INDUSTRIAL DR - BUILDINGS 72 76 & 150,LEETSDALE,ALLEGHENY,42003,PA,15056,3,0,THE LUBRIZOL CORP,100 LEETSDALE INDUSTRIAL DRIVE,LEETSDALE,PA,,,15056,C,,,001024314,BERKSHIRE HATHAWAY INC,403346,801254,,,,,,,,,0,EDWARD MICHALOWSKI,7243181038,,EDWARD.MICHALOWSKI@LUBRIZOL.COM,,BERKSHIRE HATHAWAY INC,110012212514
4203,15056HSSYC100WA,LIBERTAS COPPER LLC,100 WASHINGTON ST,LEETSDALE,ALLEGHENY,42003,PA,15056,3,0,LIBERTAS COPPER LLC,100 WASHINGTON ST,LEETSDALE,PA,,,15056,C,,,,,403415,801330,40.570833,80.225,500,UN,UN,1,U,1010,0,MICHAEL JENKINS,7249719623,,MJENKINS@HUSSEYCOPPER.COM,,,110000328994
4204,15065HCKTTFEDER,HARSCO METALS - NATRONA,FEDERAL ST GATE 10 C/O ALLEGHENY LUDLUM STEEL,NATRONA HEIGHTS,ALLEGHENY,42003,PA,15065,3,0,HARSCO METALS - NATRONA,300 SEVEN FIELDS BLVD,SEVEN FIELDS,PA,,,16046,C,,,003952009,HARSCO CORP,403700,794300,40.616667,79.716667,11000,UN,UN,1,U,1000,0,GLENN D HUNDERTMARK,7247416662,,GHUNDERTMARK@HARSCO.COM,,HARSCO CORP,110000329136
4205,1506WDCTMT152IN,DUCTMATE INDUSTRIES,1502 INDUSTRIAL DR,MONONGAHELA,ALLEGHENY,42003,PA,15063,3,0,DUCTMATE INDUSTRIES,1502 INDUSTRIAL DR,MONONGAHELA,PA,,,15063,C,,,,,0,0,,,,,,,,,0,EDWIN S HART,7243101054,,EHART@DMICOMPANIES.COM,,,110060152659
4206,15071CRCBL1001R,ATI SPECIALTY MATERIALS LLC - OAKDALE,1001 ROBB HILL RD,OAKDALE,ALLEGHENY,42003,PA,15071,3,0,ATI SPECIALTY MATERIALS LLC - OAKDALE,1001 ROBB HILL RD,OAKDALE,PA,,,15071,C,,,949262737,ATI INC,402520,801138,40.422222,80.193889,11000,UN,UN,1,U,1000,0,NATALIE GILLESPIE,4123942850,,NATALIE.GILLESPIE@ATIMATERIALS.COM,,,110000329181
4207,15071NDSTR11AKD,INDUSTRIAL SCIENTIFIC CORP,1001 OAKDALE RD,OAKDALE,ALLEGHENY,42003,PA,15071,3,1,INDUSTRIAL SCIENTIFIC CORP,1001 OAKDALE RD,OAKDALE,PA,,,15071,C,,,,,,,,,,,,,,,0,DARRIN BACHY,4124901802,,PRDDEB@INDSCI.COM,,INDUSTRIAL SCIENTIFIC CORP,110004863639
4208,15071PRNMNNEPRI,PRION MANUFACTURING,ONE PRION DR,OAKDALE,ALLEGHENY,42003,PA,15071,3,0,,NA,NA,NA,,,NA,C,,,,,,,,,,,,,,,0,BILL PRION,7246930200,107,BILL.PRION@OUTLOOK.COM,,,110004881539
4209,1507WRNKRP2GREG,RINKER PITTSBURGH PIPE,2000 GREGG STATION RD,OAKDALE,ALLEGHENY,42003,PA,15071,3,0,RINKER PITTSBURGH PIPE,2000 GREGG STATION RD,OAKDALE,PA,,,15071,C,,,969583546,QUIKRETE HOLDINGS,,,,,,,,,,,0,DAVID MCKINNEY,3365585447,,DAVID.MCKINNEY@RINKERPIPE.COM,,QUIKRETE HOLDINGS,110071428640
4210,15084NTDBR344W6,UNITED BRONZE OF PITTSBURGH,344 W 6TH AVE,TARENTUM,ALLEGHENY,42003,PA,15084,3,0,UNITED BRONZE OF PITTSBURGH,P.O. BOX 317,CREIGHTON,PA,,,15030,C,,,,,403552,794550,40.597778,79.763889,11000,UN,UN,1,U,1000,0,ROBERT E. ORRINGON,4122268500,,,,,110011931384
4211,15088HRCLSSTATE,SYNTHOMER JEFFERSON HILLS LLC,2200 STATE HWY 837,JEFFERSON HILLS,ALLEGHENY,42003,PA,15025,3,0,SYNTHOMER JEFFERSON HILLS LLC,PO BOX 545,WEST ELIZABETH,PA,,,15088,C,,,,YULE CATTO INC.,401500,795410,40.266667,79.902778,500,UN,UN,1,U,1010,0,MARSHALL HOLMES,4128132222,,MARSHALL.HOLMES@SYNTHOMER.COM,,,110000583057
4212,15088SNYCHSTATE,SANYO CHEMICAL & RESINS LLC,STATE RT 837 PO BOX 567,WEST ELIZABETH,ALLEGHENY,42003,PA,15088,3,1,SANYO CHEMICAL & RESINS LLC,PO BOX 567,WEST ELIZABETH,PA,,,15088,C,,,,SANYO N.A.,0,0,,,,,,,,,0,SHINYA FUJIBAYASHI,4123842520,,SFUJIBAYASHI@SANAMCORP.COM,,SANYO NORTH AMERICA,110067041846
4213,15088SYLVNSECON,CONSUMERS WOOD PRESERVING CO,2ND ST,WEST ELIZABETH,ALLEGHENY,42003,PA,15088,3,0,CONSUMERS WOOD PRESERVING CO.,1 CHICAGO AVE.,ELIZABETH,PA,,,15037,C,,,008939902,WEST ELIZABETH LUMBER CO,401551,795356,40.264167,79.898889,11000,UN,UN,1,U,1000,0,CARL D. SHAFFER,4123843900,,,,,110007034173
4214,1508WWRLDW6THCE,RESCO PRODUCTS INC,6TH & CENTER ST,TARENTUM,ALLEGHENY,42003,PA,15084,3,0,RESCO PRODUCTS INC,P. O. BOX  28,TARENTUM,PA,,,15084,C,,,002324655,RESCO PRODUCTS INC,,,,,,,,,,,0,MICHAEL SKINNER,7242448800,,MIKE.SKINNER@RESCOPRODUCTS.COM,,RESCO PRODUCTS INC,110010150237
4215,15104HRSCH13THB,HARSCO METALS - BRI,13TH & BRADDOCK AVE C/O USS,BRADDOCK,ALLEGHENY,42003,PA,15104,3,0,HARSCO METALS - BRI,300 SEVEN FIELDS BLVD,SEVEN FIELDS,PA,,,16046,C,,,003952009,HARSCO CORP,402350,795135,,,,,,,,,1,GLENN HUNDERTMARK,7247416662,,,,HARSCO CORP,110020515897
4216,15104MSDVT13BRA,TMS INTERNATIONAL LLC,1300 BRADDOCK AVE,BRADDOCK,ALLEGHENY,42003,PA,15104,3,0,TMS INTERNATIONAL LLC,1155 BUSINESS CENTER DR,HORSHAM,PA,,,19044,C,,,614394299,TMS INTERNATIONAL CORP,,,,,,,,,,,0,STEPHANIE HAHN,2159565412,,TMSINTLENVENG@TMSINTERNATIONAL.COM,,TMS INTERNATIONAL CORP,110031020357
4217,15104MTRCL100TA,MOTOR COILS MFG CO,100 TALBOT AVE,BRADDOCK,ALLEGHENY,42003,PA,15104,3,0,MOTOR COILS MFG CO,100 TALBOT AVE,BRADDOCK,PA,,,15104,C,,,859875437,WABTEC CO,402501,795001,40.405187,79.875583,150,A1,PG,1,J,1000,0,RON SHANNON,4122734900,,,,,110000329234
4218,15104PCMTL11TAL,EPIC METALS CORP,11 TALBOT AVE,RANKIN,ALLEGHENY,42003,PA,15104,3,0,EPIC METALS CORP,11 TALBOT AVE,RANKIN,PA,,,15104,C,,,,,402424,795233,,,,,,,,,0,DAVID C WEBER,4123513913,157,DAVID.WEBER@EPICMETALS.COM,,,110001214365
